pais,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
República Tcheca,1770.0,1974.0,2006.0,2000.0,2260.0,1686.0,2067.0,2125.0,2236.0,2231.0,2094.0,1992.0,2174.0,2296.0,2206.0
Costa do Marfim,180.0,227.0,277.0,299.0,289.0,284.0,290.0,305.0,360.0,424.0,464.0,444.0,412.0,404.0,404.0
Dinamarca,1800.0,1860.0,1890.0,1629.0,1592.0,1580.0,1552.0,1544.0,1506.0,1495.0,1461.0,1470.0,1517.0,1551.0,1591.0
Djibuti,2.0,2.0,3.0,3.0,3.0,4.0,7.0,5.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0
Dominica,4.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
República Dominicana,89.0,78.0,73.0,86.0,96.0,96.0,78.0,32.0,69.0,132.0,141.0,118.0,83.0,81.0,81.0
Equador,69.0,62.0,50.0,59.0,45.0,61.0,50.0,71.0,55.0,57.0,70.0,85.0,95.0,100.0,100.0
Egito,105.0,143.0,118.0,80.0,44.0,44.0,45.0,47.0,57.0,59.0,59.0,58.0,57.0,57.0,57.0
El Salvador,22.0,19.0,20.0,21.0,21.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,24.0,26.0,26.0
Estônia,116.0,146.0,142.0,156.0,202.0,253.0,290.0,307.0,310.0,312.0,302.0,283.0,278.0,275.0,275.0
Suazilândia,18.0,1.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Etiópia,36.0,18.0,21.0,19.0,18.0,18.0,18.0,29.0,24.0,20.0,13.0,10.0,8.0,8.0,8.0
Ilhas Faroe,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Fiji,12.0,33.0,13.0,9.0,9.0,10.0,10.0,11.0,13.0,14.0,14.0,14.0,14.0,13.0,13.0
Finlândia,559.0,572.0,597.0,578.0,591.0,588.0,593.0,586.0,576.0,565.0,560.0,569.0,565.0,232.0,232.0
França,32168.0,30800.0,30214.0,29272.0,28307.0,28022.0,27770.0,27545.0,26452.0,28290.0,28634.0,26028.0,24714.0,23202.0,25202.0
Guiana Francesa,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0
Polinésia Francesa,43.0,45.0,43.0,40.0,38.0,36.0,33.0,28.0,27.0,27.0,26.0,26.0,26.0,26.0,26.0
Gabão,88.0,71.0,71.0,99.0,99.0,82.0,72.0,68.0,70.0,73.0,63.0,56.0,55.0,54.0,54.0
Gâmbia,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geórgia,1116.0,1193.0,974.0,931.0,927.0,786.0,636.0,600.0,695.0,718.0,700.0,771.0,1091.0,1090.0,1200.0
Alemanha,20782.0,20747.0,20224.0,20200.0,19707.0,20300.0,20400.0,20300.0,20500.0,20200.0,19745.0,20000.0,19800.0,19844.0,19900.0
Gana,118.0,146.0,89.0,85.0,91.0,105.0,99.0,74.0,52.0,46.0,55.0,55.0,65.0,68.0,68.0
Global,251518.0,249989.0,242831.0,240757.0,242130.0,244923.0,244199.0,239350.0,241826.0,244213.0,246787.0,241811.0,238097.0,233484.0,234711.0
Grécia,3300.0,3200.0,3029.0,3248.0,2852.0,3068.0,2996.0,2639.0,2404.0,2365.0,2396.0,2228.0,2183.0,2216.0,2207.0
Groenlândia,6.0,5.0,7.0,5.0,6.0,6.0,7.0,8.0,7.0,6.0,6.0,5.0,5.0,6.0,6.0
Granada,32.0,27.0,32.0,32.0,31.0,32.0,39.0,41.0,40.0,41.0,44.0,48.0,54.0,54.0,54.0
Guadalupe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guam,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
Guiné,8.0,1.0,1.0,14.0,12.0,7.0,6.0,6.0,5.0,5.0,6.0,7.0,8.0,9.0,9.0
Guiné-Bissau,44.0,42.0,41.0,53.0,71.0,71.0,68.0,70.0,78.0,86.0,101.0,100.0,97.0,100.0,100.0
