pais,2020,2025,diferenca
Honduras,4.1,4.3,0.20000000000000018
Zimbábue,4.5,4.2,-0.2999999999999998
Gâmbia,3.9,4.1,0.19999999999999973
Jamaica,4.1,4.0,-0.09999999999999964
Venezuela,4.5,3.9,-0.6000000000000001
Etiópia,3.5,3.7,0.20000000000000018
Maurício,3.6,3.5,-0.10000000000000009
Dem Congo,3.2,3.4,0.19999999999999973
Samoa,2.9,3.3,0.3999999999999999
Coreia do Norte,3.6,3.3,-0.30000000000000027
República Centro-Africana,3.2,3.2,0.0
Togo,3.1,3.1,0.0
Fiji,3.0,3.1,0.10000000000000009
Quênia,2.7,3.1,0.3999999999999999
Maldivas,3.0,3.0,0.0
Micronésia,2.7,2.9,0.19999999999999973
Eritreia,1.9,2.8,0.8999999999999999
Gana,2.7,2.7,0.0
Uzbequistão,2.6,2.6,0.0
Moçambique,2.5,2.6,0.10000000000000009
Nepal,2.3,2.6,0.30000000000000027
Guatemala,2.4,2.3,-0.10000000000000009
Catar,2.1,2.2,0.10000000000000009
Tunísia,2.0,2.1,0.10000000000000009
Singapura,2.0,2.0,0.0
Bahrein,1.9,1.8,-0.09999999999999987
Chade,1.7,1.8,0.10000000000000009
Tuvalu,1.7,1.7,0.0
Tonga,1.6,1.7,0.09999999999999987
Indonésia,1.1,1.6,0.5
Madagascar,1.8,1.6,-0.19999999999999996
Vanuatu,1.4,1.5,0.10000000000000009
Mali,1.3,1.3,0.0
Líbano,1.4,1.2,-0.19999999999999996
Ilhas Salomão,1.3,1.2,-0.10000000000000009
Comores,1.0,1.1,0.10000000000000009
Argélia,1.0,1.1,0.10000000000000009
Papua-Nova Guiné,1.2,1.1,-0.09999999999999987
Guiné,1.1,1.0,-0.10000000000000009
Jordânia,0.8,1.0,0.19999999999999996
Irã,1.0,1.0,0.0
Azerbaijão,0.7,0.9,0.20000000000000007
Omã,0.8,0.9,0.09999999999999998
Malásia,0.9,0.8,-0.09999999999999998
Djibuti,0.6,0.7,0.09999999999999998
Níger,0.6,0.7,0.09999999999999998
Marrocos,0.7,0.7,0.0
Senegal,0.7,0.6,-0.09999999999999998
Iraque,0.5,0.6,0.09999999999999998
Egito,0.4,0.5,0.09999999999999998
Butão,0.5,0.4,-0.09999999999999998
Kiribati,0.4,0.4,0.0
Paquistão,0.3,0.4,0.10000000000000003
Brunei,0.4,0.3,-0.10000000000000003
Síria,0.3,0.3,0.0
Afeganistão,0.2,0.2,0.0
Arábia Saudita,0.2,0.2,0.0
Iêmen,0.1,0.1,0.0
