pais,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Brunei,12247694247.2,14393099068.6,10732366286.3,13707370737.1,18525319977.7,19047940300.9,18093829923.3,17098342541.4,12930394937.8,11400854267.7,12128104859.1,13567351175.0,13469422958.5,12005825759.2,14006569575.7
Bulgária,44432811756.5,54481376860.4,52023505367.2,50682061053.2,57678241023.8,54300857424.4,55810138436.5,57082011260.3,50781996712.8,53953897624.4,59199447421.5,66363537115.3,68915875214.7,70240275010.2,84056312734.3
Burkina Faso,7625723123.5,9451436359.0,9450697335.5,10109618964.3,12080296644.1,12561016091.5,13444301139.1,13943016923.9,11832159275.6,12833363370.2,14106956830.1,15890065019.8,16178162030.1,17933606353.2,19737615114.4
Burundi,1356199364.9,1611835901.9,1781455092.1,2032135246.5,2235820867.8,2333341374.9,2451606684.3,2705783272.1,3104003611.4,2639321161.4,2712324133.8,2660123597.7,2576518846.4,2649671998.9,2779813489.0
Cabo Verde,1513040064.5,1787968044.5,1697737296.2,1663913071.4,1865915544.1,1741809809.0,1850470042.4,1859898513.3,1596800287.2,1663008687.1,1769787215.4,1966501117.6,1981845740.7,1703698676.7,1936174043.5
Camboja,8639235842.2,10351914093.2,10401851850.6,11242275199.0,12829541141.0,14054443213.5,15227991395.2,16702610842.4,18049954289.4,20016747754.0,22177200511.6,24571753583.5,27089389787.0,25872798012.2,26961061119.8
Camarões,23928251333.7,27715144580.3,27932971683.4,27507499709.1,30630912184.8,30155064574.1,33728622819.1,36386546917.7,32210232911.7,33814337900.3,36098550141.6,39973839064.6,39670977332.7,40773241531.2,45338283344.8
Canadá,1468820407783.3,1552989690721.7,1374625142157.3,1617343367486.3,1793326630174.5,1828366481521.6,1846597421835.0,1805749878439.9,1556508816217.1,1527994741907.4,1649265644244.1,1725329192783.0,1742015045482.3,1645423407568.4,1988336331717.4
Ilhas Cayman,4466438857.6,4586114124.6,4281868714.7,4156990759.6,4186223809.0,4291159006.4,4405954638.2,4563017880.7,4708336733.5,4909498980.0,5166467298.7,5530377535.1,5943589103.6,5608989199.6,5898449688.0
República Centro-Africana,1699811358.9,1993408071.7,2067381766.4,2142591375.9,2437982839.6,2510126699.1,1691544192.4,1894813504.5,1695825708.5,1825018190.9,2072349794.2,2220978978.2,2221301400.7,2326720920.6,2516498299.0
Chade,8650138068.6,10393834720.9,9290728773.4,10668102734.8,12172309522.6,12367363677.6,12953535495.9,13940768065.6,10950392219.9,10097778353.8,10000395242.1,11239167048.5,11314951342.8,10715396135.4,11779980801.8
Ilhas do Canal,11515258634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chile,172565850839.2,179663403197.0,171412642047.3,217105420016.5,251224856981.3,267175872540.1,277239461340.4,259405202008.0,242496649874.2,249298719723.1,276364933679.6,295402652037.2,278584733103.0,252727193710.0,317058508651.8
China,3550342737010.8,4594307032660.8,5101703073086.0,6087163874512.2,7551500124203.4,8532229986993.7,9570406235659.6,10475682920594.5,11061553079876.4,11233276536737.2,12310409370892.8,13894817549374.2,14279937500606.5,14687673892882.0,17734062645371.4
Colômbia,206181823187.7,242186949772.5,232397835356.4,286563099757.5,334943877377.5,370921317942.6,382116120909.2,381112110485.4,293481753078.9,282825012368.3,311883730442.0,334198218100.7,323109540251.9,270299984938.0,314464137241.3
Comores,795673128.5,915659192.8,905341090.6,907978723.5,1023086183.8,1015843368.8,1116224161.1,1149587651.7,966029542.0,1012835518.3,1077439662.6,1188797574.9,1195019559.1,1225039230.7,1296089632.6
Dem Congo,16737071816.4,19788515873.9,18648373312.4,21565720044.5,25839749198.8,29306235826.4,32679745297.6,35909040265.9,37917704900.1,37134799974.5,38019265625.9,47568210068.5,51775830725.8,48716960860.1,55350968593.1
Congo,8782703767.0,11649858744.4,9723300390.8,13148395201.8,15655384440.4,17692912613.2,17958721571.8,17912908765.9,11890259136.1,10219341276.9,11094822713.3,13670036996.0,12750339023.0,10483151175.8,13366230219.5
Costa Rica,26884700345.0,30801744881.0,30745712006.5,37658614803.3,42762617081.7,47231651862.8,50949672205.9,52016408950.9,56441917653.0,58847016044.7,60516043590.2,62420165099.7,64417670082.6,62158002233.0,64282438666.7
Costa do Marfim,28760092034.5,34078243426.0,33886814907.0,34936305297.0,36693712824.8,36302305578.2,42760237561.4,48843008580.3,45814637971.5,47964234560.1,51588158717.5,58011466450.9,58539424929.7,61348579465.1,70043191477.0
Croácia,60641942979.2,70943300079.5,63324394633.9,60672093864.8,63408294943.5,57369359295.3,59032066091.7,58423981441.2,50242783066.1,52397494687.5,56323836169.7,62316840750.0,62327983579.6,57472012426.7,68955083280.2
Cuba,54262870370.4,56302129629.6,57481481481.5,59562962963.0,68990000000.0,73141000000.0,77148000000.0,80656000000.0,87133000000.0,91370000000.0,96851000000.0,100050000000.0,103428000000.0,107352000000.0,0.0
Curaçao,0.0,0.0,0.0,0.0,2933128491.6,3024525139.7,3039944134.1,3048435754.2,3042737430.2,3014748603.4,3009497206.7,3020388826.8,2995185474.9,2496174748.6,2699612458.1
Chipre,23968764029.6,27844698989.3,25945391775.5,25800247912.0,27642086581.3,25048659899.8,23961144906.4,23226782250.6,19909190058.8,21046951516.5,22946726163.6,25596474964.6,25944504645.7,25008448886.4,28407867534.0
Tchéquia,190183800884.0,236816485763.0,207434296805.3,209069940963.2,229562733398.9,208857719320.6,211685616592.9,209358834156.3,188033050459.9,196272068576.3,218628940951.7,249000540729.2,252548179964.9,245974558654.0,281777887121.5
Dinamarca,319423424509.1,353361038818.4,321241303699.0,321995279401.5,344003137611.3,327148943812.1,343584391647.9,352993631617.7,302673070846.9,313115929314.3,332121063806.4,356841216410.1,346498737961.6,355222449505.2,398303272764.5
Djibuti,847918929.1,999105339.3,1049110684.7,1128611700.4,1239144501.8,1353632941.5,2042817162.9,2214679081.3,2424391785.4,2604955228.7,2762581334.2,2913466732.1,3088853638.6,3181071153.7,3482987379.1
Dominica,421374074.1,458188888.9,489074074.1,493825925.9,501025925.9,485996296.3,498296296.3,520207407.4,540737037.0,576229629.6,521551851.9,554770370.4,611537037.0,504214814.8,554181481.5
República Dominicana,43965420072.4,48122547177.2,48261033298.2,53860175556.0,58029750745.6,60681537195.8,62682163837.3,67179914027.0,71164825256.7,75704720189.6,79997975621.9,85555378042.8,88941299733.5,78844702329.1,94243453937.4
Equador,51007777000.0,61762635000.0,62519686000.0,69555367000.0,79276664000.0,87924544000.0,95129659000.0,101726331000.0,99290381000.0,99937696000.0,104295862000.0,107562008000.0,108108009000.0,99291124000.0,106165866000.0
Egito,130437828371.3,162818181818.2,189147005444.6,218983666061.7,235989672977.6,279116666666.7,288434108527.1,305595408895.3,329366576819.4,332441717791.4,235733695652.2,249712999437.3,303080865603.6,365252651278.9,404142766093.1
El Salvador,17011750000.0,17986890000.0,17601620000.0,18447920000.0,20283780000.0,21386150000.0,21990960000.0,22593470000.0,23438240000.0,24191430000.0,24979190000.0,26020850000.0,26881140000.0,24563020000.0,28736940000.0
Guiné Equatorial,13071718758.7,19749893536.3,15027795173.2,16314442183.3,21357344847.5,22388345810.2,21948835350.3,21765454404.4,13185496836.4,11240809132.4,12200912828.4,13097011143.3,11364133801.9,10099158074.7,12269392839.7
Eritreia,1317974491.1,1380188800.0,1856695551.2,1589515447.2,2065001626.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
