pais,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
China,3550342737010.8,4594307032660.8,5101703073086.0,6087163874512.2,7551500124203.4,8532229986993.7,9570406235659.6,10475682920594.5,11061553079876.4,11233276536737.2,12310409370892.8,13894817549374.2,14279937500606.5,14687673892882.0,17734062645371.4
Países Baixos,848558887541.2,951869997864.1,871518638049.2,847380859016.7,905270626332.7,838923319919.5,877172824534.5,892167986713.7,765572770634.4,784060430240.1,833869641687.1,914043438179.6,910194347568.6,909793466661.5,1012846760976.7
Paraguai,17856393235.4,24615267663.5,22355151162.0,27260886405.2,33756238766.5,33271921136.3,38501122141.4,40377929295.6,36211447840.1,36089700222.9,38997129473.6,40225448340.6,37925338329.1,35432178068.2,39495431574.2
Rússia,1299705764823.6,1660846387624.8,1222644282201.9,1524917468442.0,2045925608274.4,2208295773643.2,2292473246621.1,2059241965490.8,1363481063446.8,1276786979221.8,1574199387070.9,1657329646183.6,1693113904262.9,1489362488439.8,1778782625793.7
Espanha,1474002579820.0,1631863493552.3,1491472923706.6,1422108199783.3,1480710495710.1,1324750738725.0,1355579535912.6,1371820537888.6,1196156971279.7,1233554967011.7,1313245330197.7,1421702715218.0,1394320055129.4,1276962685648.3,1427380681294.6
Reino Unido,3092821128451.4,2931501838235.3,2417638261411.4,2491397494468.0,2666403005061.4,2706340967030.7,2786315215250.0,3065223279583.8,2934857946213.5,2699659680997.2,2683399006715.8,2878152147315.8,2857057847953.0,2704609160088.2,3131377762926.0
Estados Unidos,14474226905000.0,14769857911000.0,14478064934000.0,15048964444000.0,15599728123000.0,16253972230000.0,16843190993000.0,17550680174000.0,18206020741000.0,18695110842000.0,19477336549000.0,20533057312000.0,21380976119000.0,21060473613000.0,23315080560000.0
