pais,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
Costa do Marfim,6.185,6.356,6.602,6.776,7.215,7.22,4.25,3.475,2.697,1.9,3.27,2.835,2.4,2.66,2.817
Croácia,9.91,8.53,9.2,11.62,13.68,15.93,17.25,17.29,16.18,13.1,11.21,8.43,6.62,7.51,7.61
Cuba,1.79,1.58,1.67,2.5,3.18,3.46,3.29,2.7,2.4,2.0,1.7,1.7,1.2,1.4,1.473
Curaçao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chipre,3.92,3.65,5.36,6.26,7.86,11.8,15.87,16.09,14.91,12.95,11.05,8.37,7.07,7.59,7.46
Tchéquia,5.32,4.39,6.66,7.28,6.71,6.98,6.95,6.11,5.05,3.95,2.89,2.24,2.01,2.55,2.81
Dinamarca,3.8,3.68,6.41,7.75,7.77,7.8,7.38,6.93,6.28,5.99,5.83,5.13,5.02,5.64,5.06
Djibuti,27.619,27.455,27.402,27.194,26.971,26.873,26.714,26.51,26.337,26.197,26.06,26.149,26.315,28.048,27.954
Dominica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
República Dominicana,5.16,4.76,5.47,5.21,6.09,6.72,7.35,6.72,7.61,7.28,5.83,5.86,6.18,6.13,7.7
Equador,3.14,3.92,4.61,4.09,3.46,3.23,3.08,3.48,3.62,4.6,3.84,3.53,3.81,6.11,4.5
Egito,8.8,8.517,9.087,8.756,11.849,12.597,13.154,13.105,13.052,12.45,11.767,9.855,7.851,7.939,7.4
El Salvador,6.41,5.88,7.33,4.89,4.3,3.84,3.69,4.15,4.0,4.42,4.39,4.01,4.17,5.02,4.35
Guiné Equatorial,7.986,7.942,8.057,8.398,8.299,8.191,8.084,8.097,8.205,8.227,8.263,8.2,8.277,9.295,9.147
Eritreia,5.652,5.596,5.645,5.892,5.782,5.693,5.63,5.678,5.797,5.807,5.807,5.697,5.704,7.28,6.802
Estônia,4.59,5.45,13.55,16.71,12.33,10.02,8.63,7.35,6.41,6.88,5.81,5.41,4.51,6.96,6.18
Eswatini,28.24,27.72,27.074,26.39,25.811,25.106,24.524,23.973,23.317,22.72,22.731,22.756,22.782,25.08,24.56
Etiópia,2.436,2.408,2.387,2.336,2.311,2.292,2.25,2.412,2.573,2.735,2.896,3.058,3.219,4.126,3.93
Ilhas Faroe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fiji,4.117,4.166,4.325,4.308,4.41,4.425,4.318,4.277,4.286,4.32,4.261,4.315,4.442,4.794,4.929
Finlândia,6.85,6.37,8.25,8.39,7.78,7.69,8.19,8.66,9.38,8.82,8.64,7.36,6.69,7.76,7.61
França,7.66,7.06,8.74,8.87,8.81,9.4,9.92,10.29,10.35,10.05,9.41,9.02,8.41,8.01,7.86
Polinésia,11.74,11.91,12.269,12.189,12.276,12.175,12.117,12.14,12.087,12.085,11.975,12.081,12.135,13.67,13.265
Gabão,18.272,19.19,19.834,20.39,20.418,20.489,20.507,20.565,20.601,20.668,20.732,20.747,20.695,21.726,21.836
Gâmbia,9.038,9.056,9.131,9.231,9.607,9.42,8.592,7.786,6.814,5.959,5.038,4.13,4.18,5.096,4.981
Geórgia,13.28,17.87,20.71,20.2,19.63,19.65,19.42,17.44,16.51,16.6,13.94,12.67,11.57,11.73,12.208
Alemanha,8.66,7.52,7.74,6.97,5.82,5.38,5.23,4.98,4.62,4.12,3.75,3.38,3.14,3.86,3.57
Gana,4.865,4.975,5.243,5.38,4.223,3.225,2.17,4.495,6.81,5.106,3.37,3.429,3.463,3.774,3.919
Gibraltar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grécia,8.4,7.76,9.62,12.71,17.86,24.44,27.47,26.49,24.9,23.54,21.49,19.29,17.31,16.31,14.71
Groenlândia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Granada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guam,8.3,8.712,9.3,8.2,13.3,12.2,11.5,7.6,6.9,5.4,5.43,5.547,5.477,6.577,6.25
Guatemala,3.14,3.314,3.489,3.5,3.095,2.76,3.02,2.72,2.51,2.58,2.46,2.28,2.19,3.359,2.942
Guiné,4.66,4.739,4.871,4.782,4.795,4.816,4.883,4.916,4.942,4.833,4.871,4.977,5.02,5.945,5.82
Guiné-Bissau,3.085,3.095,3.103,3.104,3.093,3.16,3.14,3.163,3.142,3.151,3.162,3.2,3.175,3.605,3.687
Guiana,10.943,11.301,11.538,11.812,12.058,12.333,12.64,12.954,13.252,13.475,13.757,14.02,13.52,15.589,14.905
Haiti,16.8,16.298,15.658,15.383,14.56,14.1,13.958,13.96,13.888,13.852,13.786,13.755,13.781,15.085,15.017
Honduras,3.21,3.16,3.29,4.12,4.47,3.75,5.65,7.08,6.15,6.73,5.53,5.62,5.55,10.68,7.947
Hong Kong,4.01,3.56,5.26,4.33,3.42,3.29,3.4,3.3,3.31,3.39,3.12,2.81,2.92,5.81,5.17
Hungria,7.41,7.82,10.03,11.17,11.03,11.0,10.18,7.73,6.81,5.11,4.16,3.71,3.42,4.25,4.05
Islândia,2.25,2.95,7.22,7.56,7.03,6.0,5.38,4.9,3.98,2.98,2.74,2.7,3.51,5.48,6.02
Índia,8.536,8.354,8.384,8.319,8.168,8.095,8.037,7.981,7.915,7.842,7.733,7.65,6.51,10.195,7.713
Indonésia,8.06,7.21,6.11,5.61,5.15,4.47,4.34,4.05,4.51,4.3,3.78,4.39,3.59,4.25,3.83
Irã,10.77,10.63,12.11,13.68,12.49,12.27,10.6,10.68,11.17,12.62,12.23,12.19,10.74,9.69,10.818
Iraque,8.65,8.48,8.395,8.252,8.125,7.96,9.263,10.59,10.729,10.82,13.02,14.065,15.11,16.23,16.17
Irlanda,4.98,6.77,12.61,14.53,15.35,15.45,13.73,11.86,9.91,8.37,6.71,5.74,4.95,5.62,6.19
Ilha de Man,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Israel,9.38,7.7,9.53,8.48,7.14,6.86,6.21,5.89,5.25,4.8,4.22,4.0,3.8,4.33,4.319
Itália,6.08,6.72,7.75,8.36,8.36,10.65,12.15,12.68,11.9,11.69,11.21,10.61,9.95,9.16,9.5
Jamaica,6.679,6.67,7.31,7.63,8.03,8.69,9.7,9.05,8.842,8.63,7.4,5.47,4.99,6.5,6.011
Japão,3.89,4.0,5.07,5.1,4.55,4.36,4.04,3.59,3.39,3.13,2.82,2.47,2.35,2.8,2.8
Jordânia,13.1,12.7,12.9,12.5,12.9,12.2,12.6,11.9,13.08,15.28,18.12,18.26,16.8,19.21,18.444
Cazaquistão,7.26,6.63,6.55,5.77,5.39,5.29,5.2,5.06,4.93,4.96,4.9,4.85,4.8,4.89,5.162
Quênia,2.919,2.976,2.92,2.846,2.859,2.844,2.831,2.796,2.774,2.76,3.52,4.245,5.01,5.616,5.644
Kiribati,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coreia do Norte,2.911,2.873,2.9,2.81,2.891,2.92,2.917,2.868,2.897,2.92,2.86,2.808,2.783,3.064,3.213
Coreia do Sul,3.01,2.96,3.36,3.32,2.99,2.81,2.75,3.08,3.55,3.65,3.65,3.82,3.75,3.93,3.64
Kosovo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kuwait,1.5,1.75,1.64,1.82,2.033,2.318,2.622,2.9,2.2,2.16,2.198,2.158,2.156,3.331,2.818
Quirguistão,2.677,2.77,2.788,2.834,3.022,3.027,3.296,3.283,3.378,3.483,3.589,3.67,4.25,4.63,4.766
Laos,1.092,0.965,0.848,0.71,1.069,1.422,1.775,2.146,2.521,2.896,3.27,3.266,3.273,3.576,3.637
Letônia,6.05,7.74,17.51,19.48,16.21,15.05,11.87,10.85,9.87,9.64,8.72,7.41,6.31,8.1,7.51
Líbano,8.98,7.672,6.35,6.836,7.383,7.83,8.28,8.765,9.263,9.723,10.211,10.728,11.3,12.971,12.497
Lesoto,16.928,16.882,17.048,16.867,16.872,16.813,16.916,16.904,16.852,16.825,16.985,16.918,16.88,18.461,18.293
Libéria,2.233,2.249,2.263,2.27,2.212,2.162,2.11,2.08,2.577,3.08,3.042,3.025,3.017,3.842,3.672
Líbia,19.443,19.428,19.411,19.308,19.446,19.03,19.46,19.611,19.521,19.516,19.291,19.446,19.612,20.343,20.606
Liechtenstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lituânia,4.25,5.83,13.79,17.81,15.39,13.36,11.77,10.7,9.12,7.86,7.07,6.15,6.26,8.49,7.11
Luxemburgo,4.07,5.06,5.12,4.36,4.9,5.14,5.85,5.85,6.67,6.29,5.52,5.59,5.59,6.77,5.25
